Caso 1: N=550307962409600896, O=449999999999999999
Caso 3039: N=614155307182116736, O=599999999999999999
Caso 3040: N=779600204314545408, O=778999999999999999
Caso 3041: N=349058485700433216, O=348999999999999999
Caso 3042: N=639808832117719936, O=599999999999999999
Caso 3043: N=857185620325462656, O=799999999999999999
Caso 3044: N=628341861531481472, O=599999999999999999
Caso 3045: N=728212246558135424, O=699999999999999999
Caso 3046: N=2945618676368555, O=2899999999999999
Caso 3047: N=606811695811603456, O=599999999999999999
Caso 3048: N=499644781261125760, O=488999999999999999
Caso 3049: N=387931436189991040, O=379999999999999999
Caso 3050: N=570259730937901056, O=569999999999999999
Caso 3051: N=948886401159006080, O=899999999999999999
Caso 3052: N=956056777066776320, O=899999999999999999
Caso 3053: N=143583752012118480, O=139999999999999999
Caso 3054: N=60350063536035448, O=59999999999999999
Caso 3055: N=972414318517400064, O=899999999999999999
Caso 3056: N=191780652772570944, O=189999999999999999
Caso 3057: N=575282632090429312, O=569999999999999999
Caso 3058: N=690263479587021696, O=689999999999999999
Caso 3059: N=503218756451110784, O=499999999999999999
Caso 3060: N=192851251602378816, O=189999999999999999
Caso 3061: N=337469074789924352, O=336999999999999999
Caso 3062: N=148773209705258656, O=147999999999999999
Caso 3063: N=328465929575910912, O=299999999999999999
Caso 3064: N=31549008222538144, O=29999999999999999
Caso 3065: N=208328405774009024, O=199999999999999999
Caso 3066: N=229360594906409600, O=228999999999999999
Caso 3067: N=530362850357010560, O=499999999999999999
Caso 3068: N=108923049901288208, O=99999999999999999
Caso 3069: N=851362269110644992, O=799999999999999999
Caso 3070: N=357183354622347072, O=356999999999999999
Caso 3071: N=294416101767000832, O=289999999999999999
Caso 3072: N=101680006795147440, O=99999999999999999
Caso 3073: N=711631857487542272, O=699999999999999999
Caso 3074: N=14822081139129640, O=14799999999999999
Caso 3075: N=960958502048466560, O=899999999999999999
Caso 3076: N=218327459183559552, O=199999999999999999
Caso 3077: N=75633583906672624, O=69999999999999999
Caso 3078: N=248353517116994592, O=247999999999999999
Caso 3079: N=148221327950825536, O=147999999999999999
Caso 3080: N=124343892838502000, O=123999999999999999
Caso 3081: N=86463599963291888, O=79999999999999999
Caso 3082: N=18307924837544952, O=17999999999999999
Caso 3083: N=491050187433461504, O=489999999999999999
Caso 3084: N=557279392676208640, O=556999999999999999
Caso 3085: N=424872977631478784, O=399999999999999999
Caso 3086: N=149324987773892576, O=148999999999999999
Caso 3087: N=911432588528804864, O=899999999999999999
Caso 3088: N=220074644015628608, O=119999999999999999
Caso 3089: N=442010783760680832, O=339999999999999999
Caso 3090: N=27830819598850808, O=27799999999999999
Caso 3091: N=365325497798913344, O=359999999999999999
Caso 3092: N=14518550639632478, O=14499999999999999
Caso 3093: N=761097346509194240, O=699999999999999999
Caso 3094: N=998816511334490624, O=889999999999999999
Caso 3095: N=694842405050718080, O=689999999999999999
Caso 3096: N=56646993926096512, O=55599999999999999
Caso 3097: N=752965530462439680, O=699999999999999999
Caso 3098: N=620806209102321792, O=599999999999999999
Caso 3099: N=555678183431359552, O=555677999999999999
Caso 3100: N=202018974144770880, O=199999999999999999
Caso 3101: N=834352982642456960, O=799999999999999999
Caso 3102: N=552360668310454592, O=449999999999999999
Caso 3103: N=386721943641391040, O=379999999999999999
Caso 3104: N=1188509061890608, O=1177999999999999
Caso 3105: N=238023934376433088, O=237999999999999999
Caso 3106: N=863970172780978176, O=799999999999999999
Caso 3107: N=42127241821399376, O=39999999999999999
Caso 3108: N=104323779257555536, O=99999999999999999
Caso 3109: N=760243947655251328, O=699999999999999999
Caso 3110: N=995948326353075968, O=889999999999999999
Caso 3111: N=15679778727018090, O=15678999999999999
Caso 3112: N=138807688430668704, O=137799999999999999
Caso 3113: N=3826916328984020, O=3799999999999999
Caso 3114: N=415946056336899072, O=399999999999999999
Caso 3115: N=153123200858585344, O=149999999999999999
Caso 3116: N=994786950797255936, O=889999999999999999
Caso 3117: N=803918288069141120, O=799999999999999999
Caso 3118: N=268962989322500608, O=268899999999999999
Caso 3119: N=370173484231618752, O=369999999999999999
Caso 3120: N=271019475137334272, O=269999999999999999
Caso 3121: N=848874440378225664, O=799999999999999999
Caso 3122: N=958241453389272192, O=899999999999999999
Caso 3123: N=172272944863842048, O=169999999999999999
Caso 3124: N=357002856665400192, O=356999999999999999
Caso 3125: N=990042904749486592, O=889999999999999999
Caso 3126: N=647185579324908160, O=599999999999999999
Caso 3127: N=706705401953351040, O=699999999999999999
Caso 3128: N=257249289818084928, O=256999999999999999
Caso 3129: N=371943848042079040, O=369999999999999999
Caso 3130: N=130456462816150192, O=129999999999999999
Caso 3131: N=668513973095784576, O=667999999999999999
Caso 3132: N=799705235252006528, O=788999999999999999
Caso 3133: N=308298324617216640, O=299999999999999999
Caso 3134: N=386651546716731200, O=379999999999999999
Caso 3135: N=628733553125504896, O=599999999999999999
Caso 3136: N=312697042273095808, O=299999999999999999
Caso 3137: N=779544051837381888, O=778999999999999999
Caso 3138: N=395484716320296000, O=389999999999999999
Caso 3139: N=256770027173880640, O=256669999999999999
Caso 3140: N=203416428674516384, O=199999999999999999
Caso 3141: N=533924999076029888, O=499999999999999999
Caso 3142: N=479141074312045696, O=478999999999999999
Caso 3143: N=468329318543380224, O=467999999999999999
Caso 3144: N=125842238642577152, O=125799999999999999
Caso 3145: N=36936439582316736, O=36899999999999999
Caso 3146: N=510488257242278336, O=499999999999999999
Caso 3147: N=746118507668250240, O=699999999999999999
Caso 3148: N=587128606905582208, O=579999999999999999
Caso 3149: N=932851848359372672, O=899999999999999999
Caso 3150: N=820084054725386112, O=799999999999999999
Caso 3151: N=752612830910129920, O=699999999999999999
Caso 3152: N=908871290295076608, O=899999999999999999
Caso 3153: N=257254179104599136, O=256999999999999999
Caso 3154: N=529427727898296640, O=499999999999999999
Caso 3155: N=882501668453113344, O=779999999999999999
Caso 3156: N=433297762995680256, O=399999999999999999
Caso 3157: N=370938758203457920, O=369999999999999999
Caso 3158: N=339660629437856256, O=338999999999999999
Caso 3159: N=586997548320582656, O=579999999999999999
Caso 3160: N=744308700566312832, O=699999999999999999
Caso 3161: N=473250573641896576, O=469999999999999999
Caso 3162: N=512928775102543744, O=499999999999999999
Caso 3163: N=143012344349803696, O=139999999999999999
Caso 3164: N=459432082885672832, O=458999999999999999
Caso 3165: N=596864023722148736, O=589999999999999999
Caso 3166: N=897878931265886080, O=889999999999999999
Caso 3167: N=37274974887864024, O=36999999999999999
Caso 3168: N=841132930043602432, O=799999999999999999
Caso 3169: N=186208418347262080, O=179999999999999999
Caso 3170: N=371266362119584000, O=369999999999999999
Caso 3171: N=288785626961654912, O=277999999999999999
Caso 3172: N=74555760587932224, O=69999999999999999
Caso 3173: N=718188096712689280, O=699999999999999999
Caso 3174: N=994411198800118144, O=889999999999999999
Caso 3175: N=842571228399831040, O=799999999999999999
Caso 3176: N=563658400467333824, O=559999999999999999
Caso 3177: N=336540970933147840, O=335999999999999999
Caso 3178: N=516247799849005568, O=499999999999999999
Caso 3179: N=633527937130673152, O=599999999999999999
Caso 3180: N=8829541856185119, O=7799999999999999
Caso 3181: N=140124847334939456, O=139999999999999999
Caso 3182: N=593969092380487936, O=589999999999999999
Caso 3183: N=41206219844464040, O=39999999999999999
Caso 3184: N=346464877528803072, O=345999999999999999
Caso 3185: N=590616255898786048, O=589999999999999999
Caso 3186: N=247776118432602400, O=246669999999999999
Caso 3187: N=234714320322432896, O=234699999999999999
Caso 3188: N=854609223584881664, O=799999999999999999
Caso 3189: N=486551495227422336, O=479999999999999999
Caso 3190: N=618000341299876352, O=599999999999999999
Caso 3191: N=341487003130196864, O=339999999999999999
Caso 3192: N=858655536173671552, O=799999999999999999
Caso 3193: N=88335546342500400, O=77999999999999999
Caso 3194: N=50874763449695880, O=49999999999999999
Caso 3195: N=464485554930143680, O=459999999999999999
Caso 3196: N=507223533619280832, O=499999999999999999
Caso 3197: N=272788771180127328, O=269999999999999999
Caso 3198: N=903486888700729856, O=899999999999999999
Caso 3199: N=319466499424586176, O=299999999999999999
Caso 3200: N=30724777327009732, O=29999999999999999
Caso 3201: N=45997869463604512, O=45889999999999999
Caso 3202: N=228954992021692352, O=228899999999999999
Caso 3203: N=667276190376966784, O=666999999999999999
Caso 3204: N=743752282940928512, O=699999999999999999
Caso 3205: N=349682069546607104, O=348999999999999999
Caso 3206: N=679626790516893696, O=678999999999999999
Caso 3207: N=775698685050722048, O=669999999999999999
Caso 3208: N=807317196506732416, O=799999999999999999
Caso 3209: N=858980895467713408, O=799999999999999999
Caso 3210: N=549107228662969664, O=499999999999999999
Caso 3211: N=861204963446498304, O=799999999999999999
Caso 3212: N=428086416075395456, O=399999999999999999
Caso 3213: N=388515472890277888, O=377999999999999999
Caso 3214: N=863180370201180032, O=799999999999999999
Caso 3215: N=833021737937426048, O=799999999999999999
Caso 3216: N=739158974407067136, O=699999999999999999
Caso 3217: N=598770480663217280, O=589999999999999999
Caso 3218: N=825197540132350720, O=799999999999999999
Caso 3219: N=690258299938564352, O=689999999999999999
Caso 3220: N=80551067753790176, O=79999999999999999
Caso 3221: N=926289163178299264, O=899999999999999999
Caso 3222: N=723262326797374848, O=699999999999999999
Caso 3223: N=607400164507411968, O=599999999999999999
Caso 3224: N=777442814247377152, O=666999999999999999
Caso 3225: N=48869157407519400, O=47799999999999999
Caso 3226: N=614550556177482112, O=599999999999999999
Caso 3227: N=84298908873791552, O=79999999999999999
Caso 3228: N=800372677980206976, O=799999999999999999
Caso 3229: N=740892123369686784, O=699999999999999999
Caso 3230: N=716360856890747136, O=699999999999999999
Caso 3231: N=533857349845389824, O=499999999999999999
Caso 3232: N=883947748122047616, O=779999999999999999
Caso 3233: N=674115655426270720, O=669999999999999999
Caso 3234: N=454000136987408832, O=449999999999999999
Caso 3235: N=333930109288870336, O=333899999999999999
Caso 3236: N=779271817429008384, O=778999999999999999
Caso 3237: N=575701038591804352, O=569999999999999999
Caso 3238: N=542365003708026176, O=499999999999999999
Caso 3239: N=679529560480873088, O=678999999999999999
Caso 3240: N=320175063806624384, O=299999999999999999
Caso 3241: N=167946007934526080, O=167899999999999999
Caso 3242: N=311088838574179712, O=299999999999999999
Caso 3243: N=537247427459398784, O=499999999999999999
Caso 3244: N=894462574158425344, O=889999999999999999
Caso 3245: N=483136637650216512, O=479999999999999999
Caso 3246: N=722381658979361152, O=699999999999999999
Caso 3247: N=625872984188697344, O=599999999999999999
Caso 3248: N=728781622101850752, O=699999999999999999
Caso 3249: N=472128036510409344, O=469999999999999999
Caso 3250: N=176197648262127360, O=169999999999999999
Caso 3251: N=625508648484607232, O=599999999999999999
Caso 3252: N=119340056706827120, O=118999999999999999
Caso 3253: N=306708913057270464, O=299999999999999999
Caso 3254: N=249123378679162912, O=248999999999999999
Caso 3255: N=752054575371690240, O=699999999999999999
Caso 3256: N=370591749115565376, O=369999999999999999
Caso 3257: N=413500043821695616, O=399999999999999999
Caso 3258: N=971387138363208448, O=899999999999999999
Caso 3259: N=424753569498207424, O=399999999999999999
Caso 3260: N=740136991218014848, O=699999999999999999
Caso 3261: N=71082333664517216, O=69999999999999999
Caso 3262: N=110648088081054640, O=9999999999999999
Caso 3263: N=1558566099984837, O=1557999999999999
Caso 3264: N=130469040619333184, O=129999999999999999
Caso 3265: N=352245292089060608, O=349999999999999999
Caso 3266: N=201731204743240352, O=199999999999999999
Caso 3267: N=460404765099539328, O=459999999999999999
Caso 3268: N=616830990013632000, O=599999999999999999
Caso 3269: N=299692212412859904, O=288999999999999999
Caso 3270: N=738232291729248256, O=699999999999999999
Caso 3271: N=464039210205737152, O=459999999999999999
Caso 3272: N=155329225626869696, O=144999999999999999
Caso 3273: N=486233282650919232, O=479999999999999999
Caso 3274: N=24924888534708424, O=24899999999999999
Caso 3275: N=461880440905901760, O=459999999999999999
Caso 3276: N=976583446907302912, O=899999999999999999
Caso 3277: N=529443797770955520, O=499999999999999999
Caso 3278: N=679158707299380608, O=678999999999999999
Caso 3279: N=354451627958323392, O=349999999999999999
Caso 3280: N=237575389078225408, O=236999999999999999
Caso 3281: N=705959258051412096, O=699999999999999999
Caso 3282: N=664947231634144256, O=559999999999999999
Caso 3283: N=774250812480112768, O=669999999999999999
Caso 3284: N=477991375908274112, O=477889999999999999
Caso 3285: N=542024975704274688, O=499999999999999999
Caso 3286: N=45199693081964584, O=44999999999999999
Caso 3287: N=221491624192581184, O=119999999999999999
Caso 3288: N=307236872140146944, O=299999999999999999
Caso 3289: N=144612994170525184, O=144599999999999999
Caso 3290: N=345560626986845888, O=345559999999999999
Caso 3291: N=133969286699861296, O=133899999999999999
Caso 3292: N=534433617995745536, O=499999999999999999
Caso 3293: N=81364038986638128, O=79999999999999999
Caso 3294: N=537577857448070720, O=499999999999999999
Caso 3295: N=467375788621623872, O=466999999999999999
Caso 3296: N=646093023346710016, O=599999999999999999
Caso 3297: N=817808370873127808, O=799999999999999999
Caso 3298: N=169427845264936928, O=168999999999999999
Caso 3299: N=515709413436318720, O=499999999999999999
Caso 3300: N=134792397335538832, O=134789999999999999
Caso 3301: N=76763731071600064, O=69999999999999999
Caso 3302: N=99184780446135872, O=88999999999999999
Caso 3303: N=510993324901500480, O=499999999999999999
Caso 3304: N=687062947727287936, O=679999999999999999
Caso 3305: N=997504736541848960, O=889999999999999999
Caso 3306: N=618627923270055424, O=599999999999999999
Caso 3307: N=7339115576569855, O=6999999999999999
Caso 3308: N=649831778280162176, O=599999999999999999
Caso 3309: N=641242805268658816, O=599999999999999999
Caso 3310: N=494839422154030016, O=489999999999999999
Caso 3311: N=176460507397297248, O=169999999999999999
Caso 3312: N=512142792224399296, O=499999999999999999
Caso 3313: N=214651413409546304, O=199999999999999999
Caso 3314: N=602352386239312256, O=599999999999999999
Caso 3315: N=920063530335781248, O=899999999999999999
Caso 3316: N=362513922567530240, O=359999999999999999
Caso 3317: N=364616388398052224, O=359999999999999999
Caso 3318: N=370367334199794752, O=369999999999999999
Caso 3319: N=139109487889433440, O=138999999999999999
Caso 3320: N=412171498481661120, O=399999999999999999
Caso 3321: N=35086694332414736, O=34999999999999999
Caso 3322: N=227562609406198208, O=226999999999999999
Caso 3323: N=590767276989671296, O=589999999999999999
Caso 3324: N=710534750213464832, O=699999999999999999
Caso 3325: N=670846248108086400, O=669999999999999999
Caso 3326: N=591281839293248512, O=589999999999999999
Caso 3327: N=510942120201751424, O=499999999999999999
Caso 3328: N=121706613458457008, O=119999999999999999
Caso 3329: N=3222372445684240, O=2999999999999999
Caso 3330: N=718390230579337728, O=699999999999999999
Caso 3331: N=583587908656293504, O=579999999999999999
Caso 3332: N=479359970568457600, O=478999999999999999
Caso 3333: N=259192483996754432, O=258999999999999999
Caso 3334: N=911848496347551872, O=899999999999999999
Caso 3335: N=897580696353506304, O=889999999999999999
Caso 3336: N=592290857983545728, O=589999999999999999
Caso 3337: N=398045221398179200, O=389999999999999999
Caso 3338: N=160061158320444096, O=159999999999999999
Caso 3339: N=247751460115246304, O=246699999999999999
Caso 3340: N=434042990176275008, O=399999999999999999
Caso 3341: N=898697704468691200, O=889999999999999999
Caso 3342: N=275314306605566880, O=269999999999999999
Caso 3343: N=508746165359305920, O=499999999999999999
Caso 3344: N=417391483288475776, O=399999999999999999
Caso 3345: N=695966624069882240, O=689999999999999999
Caso 3346: N=993124931022182912, O=889999999999999999
Caso 3347: N=838701543819514496, O=799999999999999999
Caso 3348: N=128105522343854528, O=127999999999999999
Caso 3349: N=95534799687285280, O=89999999999999999
Caso 3350: N=296082479161208128, O=289999999999999999
Caso 3351: N=154295795334334784, O=149999999999999999
Caso 3352: N=272292959170840512, O=269999999999999999
Caso 3353: N=885051596105418880, O=779999999999999999
Caso 3354: N=433770455755039168, O=399999999999999999
Caso 3355: N=659552988044443136, O=599999999999999999
Caso 3356: N=877762889347811456, O=799999999999999999
Caso 3357: N=402749961148864192, O=399999999999999999
Caso 3358: N=724614367752809472, O=699999999999999999
Caso 3359: N=207850842578329984, O=199999999999999999
Caso 3360: N=982224599145142656, O=899999999999999999
Caso 3361: N=25158424519351352, O=24999999999999999
Caso 3362: N=246009427698475008, O=245999999999999999
Caso 3363: N=929901610890081920, O=899999999999999999
Caso 3364: N=139774357899265616, O=138999999999999999
Caso 3365: N=391931916677742400, O=389999999999999999
Caso 3366: N=945839792099475456, O=899999999999999999
Caso 3367: N=870046061635773312, O=799999999999999999
Caso 3368: N=82004314431816224, O=79999999999999999
Caso 3369: N=698520204959097728, O=689999999999999999
Caso 3370: N=541508675092313344, O=499999999999999999
Caso 3371: N=339021116630816768, O=338999999999999999
Caso 3372: N=781200476440566400, O=779999999999999999
Caso 3373: N=556338517278985088, O=555999999999999999
Caso 3374: N=811856647852287232, O=799999999999999999
Caso 3375: N=313431836072604416, O=299999999999999999
Caso 3376: N=980479737063725952, O=899999999999999999
Caso 3377: N=245299550035429152, O=244999999999999999
Caso 3378: N=532852723073053888, O=499999999999999999
Caso 3379: N=490478492061692352, O=489999999999999999
Caso 3380: N=979348388194977152, O=899999999999999999
Caso 3381: N=665012352452835200, O=559999999999999999
Caso 3382: N=359701636829518528, O=358999999999999999
Caso 3383: N=541060577702405312, O=499999999999999999
Caso 3384: N=93047926312432304, O=89999999999999999
Caso 3385: N=928647700152300032, O=899999999999999999
Caso 3386: N=416017590363055744, O=399999999999999999
Caso 3387: N=695198956390566912, O=689999999999999999
Caso 3388: N=740186187022641664, O=699999999999999999
Caso 3389: N=337416180230369536, O=336999999999999999
Caso 3390: N=214972820442056896, O=199999999999999999
Caso 3391: N=40788315563391576, O=39999999999999999
Caso 3392: N=555534965768769280, O=444499999999999999
Caso 3393: N=423799227289573760, O=399999999999999999
Caso 3394: N=807837611366195584, O=799999999999999999
Caso 3395: N=820012147799306752, O=799999999999999999
Caso 3396: N=273508072314860736, O=269999999999999999
Caso 3397: N=858119766577943168, O=799999999999999999
Caso 3398: N=732085537405543424, O=699999999999999999
Caso 3399: N=567322936114644544, O=566999999999999999
Caso 3400: N=382716642928279680, O=379999999999999999
Caso 3401: N=275733674929110048, O=269999999999999999
Caso 3402: N=414245858053680192, O=399999999999999999
Caso 3403: N=148710250045873920, O=147999999999999999
Caso 3404: N=713130975099227136, O=699999999999999999
Caso 3405: N=501069061991020096, O=499999999999999999
Caso 3406: N=171942917636645280, O=169999999999999999
Caso 3407: N=634050212019760896, O=599999999999999999
Caso 3408: N=184761555868960256, O=179999999999999999
Caso 3409: N=219935317127195488, O=199999999999999999
Caso 3410: N=855069872237234176, O=799999999999999999
Caso 3411: N=462649690076451648, O=459999999999999999
Caso 3412: N=920404270026616192, O=899999999999999999
Caso 3413: N=882969421683657600, O=779999999999999999
Caso 3414: N=467802138549207040, O=467799999999999999
Caso 3415: N=546669028832285312, O=499999999999999999
Caso 3416: N=804877727113150336, O=799999999999999999
Caso 3417: N=510782372473201600, O=499999999999999999
Caso 3418: N=821163841406887424, O=799999999999999999
Caso 3419: N=797927639010681728, O=789999999999999999
Caso 3420: N=359313714799158208, O=358999999999999999
Caso 3421: N=115313566226246672, O=114999999999999999
Caso 3422: N=380117827011045824, O=379999999999999999
Caso 3423: N=60666760686590048, O=59999999999999999
Caso 3424: N=491444151217402240, O=489999999999999999
Caso 3425: N=652096744178744704, O=599999999999999999
Caso 3426: N=989658459344006400, O=899999999999999999
Caso 3427: N=586164224762841088, O=579999999999999999
Caso 3428: N=281460985841030752, O=279999999999999999
Caso 3429: N=774585981587190400, O=669999999999999999
Caso 3430: N=91143522209136576, O=89999999999999999
Caso 3431: N=994666360770759936, O=889999999999999999
Caso 3432: N=467908527545525504, O=467899999999999999
Caso 3433: N=174385823202907520, O=169999999999999999
Caso 3434: N=373109552532728256, O=369999999999999999
Caso 3435: N=135922217653254080, O=135899999999999999
Caso 3436: N=709199765506680960, O=699999999999999999
Caso 3437: N=960174820509575552, O=899999999999999999
Caso 3438: N=540073042268213184, O=499999999999999999
Caso 3439: N=381676244345015552, O=379999999999999999
Caso 3440: N=13732150283220834, O=13699999999999999
Caso 3441: N=353307224492119488, O=349999999999999999
Caso 3442: N=28327168065857776, O=27999999999999999
Caso 3443: N=661794955711737344, O=559999999999999999
Caso 3444: N=955209891189347072, O=899999999999999999
Caso 3445: N=959522475187297792, O=899999999999999999
Caso 3446: N=49502364396721624, O=48999999999999999
Caso 3447: N=990274284213073792, O=889999999999999999
Caso 3448: N=419663661634915392, O=399999999999999999
Caso 3449: N=13888119900127394, O=13777999999999999
Caso 3450: N=300665794286456320, O=299999999999999999
Caso 3451: N=318194129466341184, O=299999999999999999
Caso 3452: N=666790841999457152, O=666789999999999999
Caso 3453: N=290046292953623360, O=289999999999999999
Caso 3454: N=43993690041798648, O=39999999999999999
Caso 3455: N=297757048564043264, O=289999999999999999
Caso 3456: N=430622424194379008, O=399999999999999999
Caso 3457: N=815030090020717312, O=799999999999999999
Caso 3458: N=29557447114082036, O=28999999999999999
Caso 3459: N=944868468590666240, O=899999999999999999
Caso 3460: N=633155529483388800, O=599999999999999999
Caso 3461: N=137360522990267472, O=136999999999999999
Caso 3462: N=911522759312630400, O=899999999999999999
Caso 3463: N=247285772455606784, O=246999999999999999
Caso 3464: N=39473210979149128, O=38999999999999999
Caso 3465: N=658830957332942336, O=599999999999999999
Caso 3466: N=391068598770717120, O=389999999999999999
Caso 3467: N=481184585124571392, O=479999999999999999
Caso 3468: N=844006062932938752, O=799999999999999999
Caso 3469: N=459330690098485376, O=458999999999999999
Caso 3470: N=308590750877736704, O=299999999999999999
Caso 3471: N=371059961888090624, O=369999999999999999
Caso 3472: N=744973170286022912, O=699999999999999999
Caso 3473: N=119254619749064704, O=118999999999999999
Caso 3474: N=303262376381536960, O=299999999999999999
Caso 3475: N=256201380719999872, O=255999999999999999
Caso 3476: N=537672239689151040, O=499999999999999999
Caso 3477: N=275491848618708448, O=269999999999999999
Caso 3478: N=459781988057726272, O=458999999999999999
Caso 3479: N=111550263301203984, O=111449999999999999
Caso 3480: N=637172339174549248, O=599999999999999999
Caso 3481: N=34680473624839948, O=34679999999999999
Caso 3482: N=570146999714975488, O=569999999999999999
Caso 3483: N=611569071461064576, O=599999999999999999
Caso 3484: N=227094468243754560, O=226999999999999999
Caso 3485: N=911361934891961472, O=899999999999999999
Caso 3486: N=252548630856878944, O=249999999999999999
Caso 3487: N=422821594300594304, O=399999999999999999
Caso 3488: N=923549132122356736, O=899999999999999999
Caso 3489: N=658863333563638528, O=599999999999999999
Caso 3490: N=189992116505240512, O=188889999999999999
Caso 3491: N=564284170654892352, O=559999999999999999
Caso 3492: N=941932045905211520, O=899999999999999999
Caso 3493: N=217181082753726720, O=199999999999999999
Caso 3494: N=178003731117289728, O=177999999999999999
Caso 3495: N=983977803367555840, O=899999999999999999
Caso 3496: N=759161951999379840, O=699999999999999999
Caso 3497: N=14835296513003526, O=14799999999999999
Caso 3498: N=503793907764185280, O=499999999999999999
Caso 3499: N=466331788616174528, O=455999999999999999
Caso 3500: N=175078357271598144, O=169999999999999999
Caso 3501: N=30608783555165052, O=29999999999999999
Caso 3502: N=418503837989513600, O=399999999999999999
Caso 3503: N=606759279042128768, O=599999999999999999
Caso 3504: N=494098014628693632, O=489999999999999999
Caso 3505: N=346280733156621760, O=345999999999999999
Caso 3506: N=109670420360014960, O=99999999999999999
Caso 3507: N=868246224763472768, O=799999999999999999
Caso 3508: N=271863848222092096, O=269999999999999999
Caso 3509: N=402909628542487104, O=399999999999999999
Caso 3510: N=632802389342414848, O=599999999999999999
Caso 3511: N=669324500661445120, O=668999999999999999
Caso 3512: N=701500928961789952, O=699999999999999999
Caso 3513: N=810915772143920384, O=799999999999999999
Caso 3514: N=718968349447020160, O=699999999999999999
Caso 3515: N=43621397314744128, O=39999999999999999
Caso 3516: N=250228393823352480, O=249999999999999999
Caso 3517: N=358159179813261632, O=357999999999999999
Caso 3518: N=239555113559059008, O=238999999999999999
Caso 3519: N=658247033099944704, O=599999999999999999
Caso 3520: N=599458101784263168, O=588999999999999999
Caso 3521: N=810403258994590464, O=799999999999999999
Caso 3522: N=379862467253498624, O=378999999999999999
Caso 3523: N=881602197658841344, O=779999999999999999
Caso 3524: N=290144041522438912, O=289999999999999999
Caso 3525: N=205000998253093696, O=199999999999999999
Caso 3526: N=249958774198904544, O=248899999999999999
Caso 3527: N=150759084253187744, O=149999999999999999
Caso 3528: N=730029233308258176, O=699999999999999999
Caso 3529: N=601334711682439552, O=599999999999999999
Caso 3530: N=744228943163795456, O=699999999999999999
Caso 3531: N=104387979414326864, O=99999999999999999
Caso 3532: N=380569591560359616, O=379999999999999999
Caso 3533: N=670486322517396992, O=669999999999999999
Caso 3534: N=950304549028353408, O=899999999999999999
Caso 3535: N=819272837139245568, O=799999999999999999
Caso 3536: N=8697203535644960, O=7999999999999999
Caso 3537: N=81810426099233392, O=79999999999999999
Caso 3538: N=303573893162656704, O=299999999999999999
Caso 3539: N=16779604528483150, O=16778999999999999
Caso 3540: N=862218107736606464, O=799999999999999999
Caso 3541: N=375527330604146752, O=369999999999999999
Caso 3542: N=985226951216824704, O=899999999999999999
Caso 3543: N=290210906327391744, O=289999999999999999
Caso 3544: N=507522563594210112, O=499999999999999999
Caso 3545: N=898148977731441920, O=889999999999999999
Caso 3546: N=769798455731890304, O=699999999999999999
Caso 3547: N=244801204273793376, O=244799999999999999
Caso 3548: N=854418663996574592, O=799999999999999999
Caso 3549: N=421495664346849792, O=399999999999999999
Caso 3550: N=642430172796280064, O=599999999999999999
Caso 3551: N=939177167820979968, O=899999999999999999
Caso 3552: N=585282835073281024, O=579999999999999999
Caso 3553: N=266257265299971616, O=255999999999999999
Caso 3554: N=26581188375144336, O=25999999999999999
Caso 3555: N=170427712416325472, O=169999999999999999
Caso 3556: N=804353636039059968, O=799999999999999999
Caso 3557: N=107497036614910944, O=99999999999999999
Caso 3558: N=389672378201749824, O=388999999999999999
Caso 3559: N=954499021531587328, O=899999999999999999
Caso 3560: N=227878077430232128, O=227799999999999999
Caso 3561: N=152192663070764960, O=149999999999999999
Caso 3562: N=327159923776406656, O=299999999999999999
Caso 3563: N=19449872305677740, O=18999999999999999
Caso 3564: N=646952642250057088, O=599999999999999999
Caso 3565: N=47853385483794808, O=47799999999999999
Caso 3566: N=964789775836729472, O=899999999999999999
Caso 3567: N=251172760154404160, O=249999999999999999
Caso 3568: N=712283606119325440, O=699999999999999999
Caso 3569: N=706448047606737408, O=699999999999999999
Caso 3570: N=664293216666360704, O=559999999999999999
Caso 3571: N=809507484588276736, O=799999999999999999
Caso 3572: N=313724569819921920, O=299999999999999999
Caso 3573: N=209323879449900064, O=199999999999999999
Caso 3574: N=569541330757119296, O=568999999999999999
Caso 3575: N=67242663997691744, O=66999999999999999
Caso 3576: N=957331522680007936, O=899999999999999999
Caso 3577: N=96491407229964960, O=89999999999999999
Caso 3578: N=488183766271360832, O=477999999999999999
Caso 3579: N=615322530238457472, O=599999999999999999
Caso 3580: N=578808767998378624, O=577799999999999999
Caso 3581: N=637595872874097408, O=599999999999999999
Caso 3582: N=968055730350738944, O=899999999999999999
Caso 3583: N=324645696741966848, O=299999999999999999
Caso 3584: N=174601917084378432, O=169999999999999999
Caso 3585: N=132091105438397088, O=129999999999999999
Caso 3586: N=198144042276712128, O=189999999999999999
Caso 3587: N=858163062268989056, O=799999999999999999
Caso 3588: N=480526702783403584, O=479999999999999999
Caso 3589: N=892577167882911488, O=889999999999999999
Caso 3590: N=540661458655512320, O=499999999999999999
Caso 3591: N=86552727155539184, O=79999999999999999
Caso 3592: N=682705411031527680, O=679999999999999999
Caso 3593: N=327957903048979776, O=299999999999999999
Caso 3594: N=83786223507533504, O=79999999999999999
Caso 3595: N=576569523167218048, O=569999999999999999
Caso 3596: N=806715505175755648, O=799999999999999999
Caso 3597: N=462020719164201152, O=459999999999999999
